count,ISB_Service,bus_stop_board,time_start,day_of_the_week,is_weekend,is_peak,hour,minute
1,D2,Museum,2024-09-01 08:43:00,Monday,0,0,8,43
1,A2,IT,2024-09-01 08:43:00,Monday,0,0,8,43
1,A1,KR MRT,2024-09-01 08:44:00,Monday,0,0,8,44
1,D2,KR MRT,2024-09-01 08:44:00,Monday,0,0,8,44
1,D2,KR MRT,2024-09-01 08:45:00,Monday,0,0,8,45
2,D2,Museum,2024-09-01 08:46:00,Monday,0,0,8,46
6,A2,Opp KR MRT,2024-09-01 08:46:00,Monday,0,0,8,46
62,D2,KR MRT,2024-09-01 08:46:00,Monday,0,0,8,46
1,A2,Opp YIH,2024-09-01 08:46:00,Monday,0,0,8,46
1,K,Opp KR MRT,2024-09-01 08:46:00,Monday,0,0,8,46
1,D1,YIH,2024-09-01 08:46:00,Monday,0,0,8,46
4,K,KR MRT,2024-09-01 08:46:00,Monday,0,0,8,46
1,D1,Opp NUSS,2024-09-01 08:46:00,Monday,0,0,8,46
8,D1,UTown,2024-09-01 08:46:00,Monday,0,0,8,46
11,D2,PGP Terminal,2024-09-01 08:46:00,Monday,0,0,8,46
3,A1,PGP Terminal,2024-09-01 08:46:00,Monday,0,0,8,46
2,A2,KR Bus Terminal,2024-09-01 08:46:00,Monday,0,0,8,46
6,D2,COM3,2024-09-01 08:46:00,Monday,0,0,8,46
4,A1,LT27,2024-09-01 08:46:00,Monday,0,0,8,46
1,K,LT27,2024-09-01 08:46:00,Monday,0,0,8,46
1,D1,Opp YIH,2024-09-01 08:46:00,Monday,0,0,8,46
8,BTC (Bukit Timah Campus),KR MRT,2024-09-01 08:46:00,Monday,0,0,8,46
1,A1,YIH,2024-09-01 08:46:00,Monday,0,0,8,46
1,K,PGP Terminal,2024-09-01 08:46:00,Monday,0,0,8,46
1,K,Museum,2024-09-01 08:46:00,Monday,0,0,8,46
31,A1,KR MRT,2024-09-01 08:46:00,Monday,0,0,8,46
4,A1,University Hall,2024-09-01 08:46:00,Monday,0,0,8,46
1,D2,PGP Foyer,2024-09-01 08:46:00,Monday,0,0,8,46
9,D2,Opp KR MRT,2024-09-01 08:46:00,Monday,0,0,8,46
1,K,S17,2024-09-01 08:46:00,Monday,0,0,8,46
11,A1,BIZ2,2024-09-01 08:46:00,Monday,0,0,8,46
10,A1,KR Bus Terminal,2024-09-01 08:46:00,Monday,0,0,8,46
1,D1,BIZ2,2024-09-01 08:46:00,Monday,0,0,8,46
1,D2,University Hall,2024-09-01 08:46:00,Monday,0,0,8,46
4,A1,LT13,2024-09-01 08:46:00,Monday,0,0,8,46
11,A2,IT,2024-09-01 08:46:00,Monday,0,0,8,46
1,D2,UHC,2024-09-01 08:46:00,Monday,0,0,8,46
10,D2,UTown,2024-09-01 08:46:00,Monday,0,0,8,46
10,D1,IT,2024-09-01 08:46:00,Monday,0,0,8,46
9,D1,COM3,2024-09-01 08:46:00,Monday,0,0,8,46
2,D1,CLB,2024-09-01 08:46:00,Monday,0,0,8,46
2,A2,S17,2024-09-01 08:46:00,Monday,0,0,8,46
9,D2,LT27,2024-09-01 08:46:00,Monday,0,0,8,46
2,A2,Museum,2024-09-01 08:46:00,Monday,0,0,8,46
1,A2,PGP Foyer,2024-09-01 08:46:00,Monday,0,0,8,46
1,A1,PGP Terminal,2024-09-01 08:47:00,Monday,0,0,8,47
2,A1,KR Bus Terminal,2024-09-01 08:47:00,Monday,0,0,8,47
1,A1,LT27,2024-09-01 08:49:00,Monday,0,0,8,49
2,A1,KR MRT,2024-09-01 08:49:00,Monday,0,0,8,49
1,D2,UTown,2024-09-01 08:49:00,Monday,0,0,8,49
1,A2,IT,2024-09-01 08:50:00,Monday,0,0,8,50
1,A2,KR Bus Terminal,2024-09-01 08:50:00,Monday,0,0,8,50
1,D1,CLB,2024-09-01 08:51:00,Monday,0,0,8,51
1,D1,Museum,2024-09-01 08:52:00,Monday,0,0,8,52
1,D2,KR MRT,2024-09-01 08:52:00,Monday,0,0,8,52
1,A2,KR Bus Terminal,2024-09-01 08:52:00,Monday,0,0,8,52
1,A1,KR MRT,2024-09-01 08:52:00,Monday,0,0,8,52
1,A1,KR MRT,2024-09-01 08:53:00,Monday,0,0,8,53
2,D2,KR MRT,2024-09-01 08:54:00,Monday,0,0,8,54
1,D1,UTown,2024-09-01 08:55:00,Monday,0,0,8,55
2,D2,KR MRT,2024-09-01 08:55:00,Monday,0,0,8,55
1,D1,Opp NUSS,2024-09-01 08:55:00,Monday,0,0,8,55
1,A1,LT13,2024-09-01 08:56:00,Monday,0,0,8,56
1,A2,IT,2024-09-01 08:56:00,Monday,0,0,8,56
2,D2,KR MRT,2024-09-01 08:56:00,Monday,0,0,8,56
1,D1,IT,2024-09-01 08:56:00,Monday,0,0,8,56
1,K,PGP Terminal,2024-09-01 08:58:00,Monday,0,0,8,58
1,D2,PGP Terminal,2024-09-01 08:58:00,Monday,0,0,8,58
1,D1,UTown,2024-09-01 08:58:00,Monday,0,0,8,58
1,A1,KR MRT,2024-09-01 08:59:00,Monday,0,0,8,59
1,A1,LT13,2024-09-01 08:59:00,Monday,0,0,8,59
3,D2,KR MRT,2024-09-01 09:00:00,Monday,0,0,9,0
1,A1,KR MRT,2024-09-01 09:00:00,Monday,0,0,9,0
1,D1,UTown,2024-09-01 09:00:00,Monday,0,0,9,0
1,D2,S17,2024-09-01 09:00:00,Monday,0,0,9,0
2,D2,KR MRT,2024-09-01 09:01:00,Monday,0,0,9,1
1,D2,Opp KR MRT,2024-09-01 09:01:00,Monday,0,0,9,1
3,A1,KR MRT,2024-09-01 09:01:00,Monday,0,0,9,1
1,A2,IT,2024-09-01 09:02:00,Monday,0,0,9,2
1,A1,BIZ2,2024-09-01 09:02:00,Monday,0,0,9,2
1,A1,KR MRT,2024-09-01 09:02:00,Monday,0,0,9,2
1,D1,UTown,2024-09-01 09:02:00,Monday,0,0,9,2
1,BTC (Bukit Timah Campus),KR MRT,2024-09-01 09:02:00,Monday,0,0,9,2
1,D2,KR MRT,2024-09-01 09:02:00,Monday,0,0,9,2
1,D2,COM3,2024-09-01 09:02:00,Monday,0,0,9,2
2,D2,KR MRT,2024-09-01 09:03:00,Monday,0,0,9,3
2,A1,KR MRT,2024-09-01 09:03:00,Monday,0,0,9,3
1,K,LT27,2024-09-01 09:03:00,Monday,0,0,9,3
1,D2,LT27,2024-09-01 09:03:00,Monday,0,0,9,3
1,D1,UTown,2024-09-01 09:03:00,Monday,0,0,9,3
1,D2,UTown,2024-09-01 09:04:00,Monday,0,0,9,4
1,D1,COM3,2024-09-01 09:04:00,Monday,0,0,9,4
2,D2,COM3,2024-09-01 09:04:00,Monday,0,0,9,4
2,D2,PGP Terminal,2024-09-01 09:04:00,Monday,0,0,9,4
1,A1,KR MRT,2024-09-01 09:04:00,Monday,0,0,9,4
1,K,KR MRT,2024-09-01 09:04:00,Monday,0,0,9,4
4,D2,KR MRT,2024-09-01 09:04:00,Monday,0,0,9,4
1,A2,Opp KR MRT,2024-09-01 09:04:00,Monday,0,0,9,4
1,A1,KR Bus Terminal,2024-09-01 09:04:00,Monday,0,0,9,4
1,D2,KR MRT,2024-09-01 09:05:00,Monday,0,0,9,5
1,D2,PGP Terminal,2024-09-01 09:05:00,Monday,0,0,9,5
1,A2,S17,2024-09-01 09:05:00,Monday,0,0,9,5
1,D2,Museum,2024-09-01 09:05:00,Monday,0,0,9,5
2,D1,IT,2024-09-01 09:05:00,Monday,0,0,9,5
3,A1,BIZ2,2024-09-01 09:05:00,Monday,0,0,9,5
1,D2,COM3,2024-09-01 09:05:00,Monday,0,0,9,5
1,D1,UTown,2024-09-01 09:05:00,Monday,0,0,9,5
1,A1,KR MRT,2024-09-01 09:06:00,Monday,0,0,9,6
1,D2,PGP Terminal,2024-09-01 09:06:00,Monday,0,0,9,6
1,A2,IT,2024-09-01 09:06:00,Monday,0,0,9,6
3,D2,KR MRT,2024-09-01 09:06:00,Monday,0,0,9,6
1,D2,KR MRT,2024-09-01 09:07:00,Monday,0,0,9,7
1,A1,KR MRT,2024-09-01 09:07:00,Monday,0,0,9,7
1,A1,PGP Terminal,2024-09-01 09:07:00,Monday,0,0,9,7
1,A1,BIZ2,2024-09-01 09:07:00,Monday,0,0,9,7
1,K,KR MRT,2024-09-01 09:07:00,Monday,0,0,9,7
1,D2,PGP Terminal,2024-09-01 09:07:00,Monday,0,0,9,7
1,D2,KR MRT,2024-09-01 09:08:00,Monday,0,0,9,8
2,A1,KR MRT,2024-09-01 09:08:00,Monday,0,0,9,8
1,A1,LT13,2024-09-01 09:08:00,Monday,0,0,9,8
1,D2,LT27,2024-09-01 09:08:00,Monday,0,0,9,8
1,A1,KR Bus Terminal,2024-09-01 09:08:00,Monday,0,0,9,8
1,D1,IT,2024-09-01 09:08:00,Monday,0,0,9,8
3,D2,UTown,2024-09-01 09:09:00,Monday,0,0,9,9
3,A1,KR MRT,2024-09-01 09:09:00,Monday,0,0,9,9
2,D2,KR MRT,2024-09-01 09:09:00,Monday,0,0,9,9
1,A1,KR Bus Terminal,2024-09-01 09:09:00,Monday,0,0,9,9
2,D1,UTown,2024-09-01 09:09:00,Monday,0,0,9,9
1,D2,UTown,2024-09-01 09:10:00,Monday,0,0,9,10
4,D2,KR MRT,2024-09-01 09:10:00,Monday,0,0,9,10
3,D2,KR MRT,2024-09-01 09:11:00,Monday,0,0,9,11
1,D2,Museum,2024-09-01 09:11:00,Monday,0,0,9,11
1,A1,PGP Terminal,2024-09-01 09:11:00,Monday,0,0,9,11
1,A2,KR Bus Terminal,2024-09-01 09:11:00,Monday,0,0,9,11
1,A1,CLB,2024-09-01 09:11:00,Monday,0,0,9,11
1,D2,PGP Terminal,2024-09-01 09:11:00,Monday,0,0,9,11
1,D2,PGP Foyer,2024-09-01 09:11:00,Monday,0,0,9,11
1,A1,LT27,2024-09-01 09:12:00,Monday,0,0,9,12
1,D2,UTown,2024-09-01 09:12:00,Monday,0,0,9,12
4,D2,KR MRT,2024-09-01 09:12:00,Monday,0,0,9,12
1,D2,KR MRT,2024-09-01 09:13:00,Monday,0,0,9,13
1,A1,PGP Terminal,2024-09-01 09:13:00,Monday,0,0,9,13
1,A2,IT,2024-09-01 09:13:00,Monday,0,0,9,13
1,D2,LT27,2024-09-01 09:13:00,Monday,0,0,9,13
1,A1,PGP Terminal,2024-09-01 09:14:00,Monday,0,0,9,14
2,D2,KR MRT,2024-09-01 09:14:00,Monday,0,0,9,14
1,A2,IT,2024-09-01 09:14:00,Monday,0,0,9,14
1,BTC (Bukit Timah Campus),Museum,2024-09-01 09:14:00,Monday,0,0,9,14
1,D2,PGP Terminal,2024-09-01 09:14:00,Monday,0,0,9,14
1,A1,KR MRT,2024-09-01 09:15:00,Monday,0,0,9,15
2,D2,KR MRT,2024-09-01 09:15:00,Monday,0,0,9,15
1,D2,University Hall,2024-09-01 09:15:00,Monday,0,0,9,15
1,A2,Opp KR MRT,2024-09-01 09:16:00,Monday,0,0,9,16
1,D1,COM3,2024-09-01 09:16:00,Monday,0,0,9,16
1,D2,COM3,2024-09-01 09:16:00,Monday,0,0,9,16
1,D2,COM3,2024-09-01 09:17:00,Monday,0,0,9,17
1,BTC (Bukit Timah Campus),KR MRT,2024-09-01 09:17:00,Monday,0,0,9,17
2,D2,KR MRT,2024-09-01 09:17:00,Monday,0,0,9,17
2,A1,KR MRT,2024-09-01 09:17:00,Monday,0,0,9,17
1,D2,Museum,2024-09-01 09:17:00,Monday,0,0,9,17
1,D2,UTown,2024-09-01 09:17:00,Monday,0,0,9,17
1,D1,UTown,2024-09-01 09:17:00,Monday,0,0,9,17
1,D2,KR MRT,2024-09-01 09:18:00,Monday,0,0,9,18
1,A1,LT13,2024-09-01 09:18:00,Monday,0,0,9,18
1,A2,Opp KR MRT,2024-09-01 09:18:00,Monday,0,0,9,18
2,A1,KR MRT,2024-09-01 09:18:00,Monday,0,0,9,18
1,A2,IT,2024-09-01 09:19:00,Monday,0,0,9,19
1,D2,KR MRT,2024-09-01 09:19:00,Monday,0,0,9,19
1,A1,KR MRT,2024-09-01 09:19:00,Monday,0,0,9,19
1,D1,UTown,2024-09-01 09:19:00,Monday,0,0,9,19
1,BTC (Bukit Timah Campus),Botanic Gardens MRT (BTC),2024-09-01 09:20:00,Monday,0,0,9,20
1,D2,KR MRT,2024-09-01 09:20:00,Monday,0,0,9,20
1,A1,KR MRT,2024-09-01 09:20:00,Monday,0,0,9,20
1,K,KR MRT,2024-09-01 09:21:00,Monday,0,0,9,21
1,D2,UTown,2024-09-01 09:21:00,Monday,0,0,9,21
1,BTC (Bukit Timah Campus),KR MRT,2024-09-01 09:21:00,Monday,0,0,9,21
1,A1,LT13,2024-09-01 09:21:00,Monday,0,0,9,21
1,A1,KR MRT,2024-09-01 09:21:00,Monday,0,0,9,21
2,D2,KR MRT,2024-09-01 09:21:00,Monday,0,0,9,21
1,D2,PGP Terminal,2024-09-01 09:21:00,Monday,0,0,9,21
1,A2,Opp KR MRT,2024-09-01 09:21:00,Monday,0,0,9,21
3,D2,KR MRT,2024-09-01 09:22:00,Monday,0,0,9,22
1,D2,Opp KR MRT,2024-09-01 09:22:00,Monday,0,0,9,22
1,A1,KR MRT,2024-09-01 09:22:00,Monday,0,0,9,22
1,A2,Opp KR MRT,2024-09-01 09:22:00,Monday,0,0,9,22
3,D2,KR MRT,2024-09-01 09:23:00,Monday,0,0,9,23
1,D2,Opp KR MRT,2024-09-01 09:23:00,Monday,0,0,9,23
1,D1,COM3,2024-09-01 09:23:00,Monday,0,0,9,23
1,D1,Museum,2024-09-01 09:23:00,Monday,0,0,9,23
1,D2,KR MRT,2024-09-01 09:24:00,Monday,0,0,9,24
2,D2,Opp KR MRT,2024-09-01 09:24:00,Monday,0,0,9,24
1,A2,IT,2024-09-01 09:24:00,Monday,0,0,9,24
2,D2,KR MRT,2024-09-01 09:25:00,Monday,0,0,9,25
1,D2,COM3,2024-09-01 09:25:00,Monday,0,0,9,25
1,K,KR MRT,2024-09-01 09:25:00,Monday,0,0,9,25
1,D2,PGP Terminal,2024-09-01 09:25:00,Monday,0,0,9,25
1,A1,KR MRT,2024-09-01 09:25:00,Monday,0,0,9,25
1,D1,COM3,2024-09-01 09:25:00,Monday,0,0,9,25
1,D1,UTown,2024-09-01 09:25:00,Monday,0,0,9,25
1,K,LT27,2024-09-01 09:25:00,Monday,0,0,9,25
1,D2,KR MRT,2024-09-01 09:26:00,Monday,0,0,9,26
1,K,KR MRT,2024-09-01 09:26:00,Monday,0,0,9,26
1,D2,UTown,2024-09-01 09:26:00,Monday,0,0,9,26
1,A2,Opp KR MRT,2024-09-01 09:26:00,Monday,0,0,9,26
1,A2,S17,2024-09-01 09:26:00,Monday,0,0,9,26
1,D2,LT27,2024-09-01 09:26:00,Monday,0,0,9,26
1,D2,PGP Terminal,2024-09-01 09:26:00,Monday,0,0,9,26
1,D2,Opp KR MRT,2024-09-01 09:26:00,Monday,0,0,9,26
2,D2,LT27,2024-09-01 09:27:00,Monday,0,0,9,27
6,D2,KR MRT,2024-09-01 09:27:00,Monday,0,0,9,27
1,A1,KR MRT,2024-09-01 09:27:00,Monday,0,0,9,27
1,A1,KR Bus Terminal,2024-09-01 09:27:00,Monday,0,0,9,27
1,A1,KR MRT,2024-09-01 09:28:00,Monday,0,0,9,28
1,D2,LT27,2024-09-01 09:28:00,Monday,0,0,9,28
1,A1,KR Bus Terminal,2024-09-01 09:28:00,Monday,0,0,9,28
1,A2,IT,2024-09-01 09:28:00,Monday,0,0,9,28
1,D2,UTown,2024-09-01 09:28:00,Monday,0,0,9,28
1,A1,LT27,2024-09-01 09:28:00,Monday,0,0,9,28
1,D1,UTown,2024-09-01 09:28:00,Monday,0,0,9,28
1,D2,KR MRT,2024-09-01 09:29:00,Monday,0,0,9,29
1,A1,LT27,2024-09-01 09:29:00,Monday,0,0,9,29
1,D1,UTown,2024-09-01 09:29:00,Monday,0,0,9,29
1,D1,Opp YIH,2024-09-01 09:29:00,Monday,0,0,9,29
1,A2,IT,2024-09-01 09:29:00,Monday,0,0,9,29
1,A2,Opp YIH,2024-09-01 09:29:00,Monday,0,0,9,29
